Company,Industry,Sector
BBC News,Broadcast Media Production and Distribution,"Technology, Information and Media"
IKEA,Retail,Retail
BMW Group,Motor Vehicle Manufacturing,Manufacturing
H&M,Retail,Retail
CHANEL,Retail Luxury Goods and Jewelry,Retail
The HEINEKEN Company,Food and Beverage Services,Accomodation Services
Standard Chartered,Banking,Financial Services
Stellantis,Motor Vehicle Manufacturing,Manufacturing
BBC,Broadcast Media Production and Distribution,"Technology, Information and Media"
AUDI AG,Motor Vehicle Manufacturing,Manufacturing
Volvo Group,Motor Vehicle Manufacturing,Manufacturing
Mercedes-Benz AG,Motor Vehicle Manufacturing,Manufacturing
Porsche AG,Motor Vehicle Manufacturing,Manufacturing
Continental,Motor Vehicle Manufacturing,Manufacturing
Red Bull,Food and Beverage Services,Accomodation Services
Volkswagen Group,Motor Vehicle Manufacturing,Manufacturing
PUMA Group,Retail,Retail
JLR,Motor Vehicle Manufacturing,Manufacturing
Burberry,Retail Luxury Goods and Jewelry,Retail
British Airways,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
FCA Fiat Chrysler Automobiles,Motor Vehicle Manufacturing,Manufacturing
Lufthansa,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Formula 1,Broadcast Media Production and Distribution,"Technology, Information and Media"
Ryanair - Europe's Favourite Airline,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Tesco,Retail,Retail
Volvo Cars,Motor Vehicle Manufacturing,Manufacturing
KLM Royal Dutch Airlines,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Radisson Hotel Group,Hospitality,Accomodation Services
NatWest Group,Banking,Financial Services
Mercedes-Maybach,Motor Vehicle Manufacturing,Manufacturing
ASOS.com,Retail Apparel and Fashion,Retail
Marks and Spencer,Retail,Retail
Carlsberg Group,Food and Beverage Services,Accomodation Services
Scania Group,Motor Vehicle Manufacturing,Manufacturing
Perfetti Van Melle,Food and Beverage Services,Accomodation Services
HUGO BOSS,Retail Apparel and Fashion,Retail
Kerry,Food and Beverage Services,Accomodation Services
MAHLE,Motor Vehicle Manufacturing,Manufacturing
Aston Martin F1 Team,Motor Vehicle Manufacturing,Manufacturing
ING,Banking,Financial Services
Primark,Retail,Retail
TUI,Hospitality,Accomodation Services
Monzo Bank,Banking,Financial Services
Tommy Hilfiger,Retail Apparel and Fashion,Retail
Bentley Motors,Motor Vehicle Manufacturing,Manufacturing
BBC Studios,Broadcast Media Production and Distribution,"Technology, Information and Media"
Sky,Broadcast Media Production and Distribution,"Technology, Information and Media"
European Central Bank,Banking,Financial Services
Volkswagen,Motor Vehicle Manufacturing,Manufacturing
FARFETCH,Retail Luxury Goods and Jewelry,Retail
Vero Moda,Retail,Retail
Tandem Bank,Banking,Financial Services
LQA,Hospitality,Accomodation Services
Imperial War Museums,"Museums, Historical Sites, and Zoos",Entertainment Providers
Claridge's,Hospitality,Accomodation Services
Ubisoft Reflections,Computer Games,"Technology, Information and Media"
Lotus F1 Team,Motor Vehicle Manufacturing,Manufacturing
Al Rayan Bank UK,Banking,Financial Services
Toyota Motor Manufacturing UK,Motor Vehicle Manufacturing,Manufacturing
Bozar,"Museums, Historical Sites, and Zoos",Entertainment Providers
Food+ by Compass,Food and Beverage Services,Accomodation Services
Whisper,Broadcast Media Production and Distribution,"Technology, Information and Media"
NatWest Business,Banking,Financial Services
GrandVision BV,Retail,Retail
Memrise,E-Learning,Education
Zenith Bank (UK) Limited.,Banking,Financial Services
Tomorrow London,Retail Apparel and Fashion,Retail
Represent,Retail Apparel and Fashion,Retail
National Museums Scotland,"Museums, Historical Sites, and Zoos",Entertainment Providers
Duvel Moortgat,Food and Beverage Services,Accomodation Services
Farrow & Ball,Retail,Retail
JLL UK,Real Estate,Real Estate and Equipment Rental Services
Fastighetsägarna,Real Estate,Real Estate and Equipment Rental Services
Links of London,Retail Luxury Goods and Jewelry,Retail
Hollis,Real Estate,Real Estate and Equipment Rental Services
Urban Splash,Real Estate,Real Estate and Equipment Rental Services
Habitat,Retail,Retail
UniCredit Bank Austria AG,Banking,Financial Services
Razor Group,Retail,Retail
Global Switch,Real Estate,Real Estate and Equipment Rental Services
Gebr. Heinemann,Retail,Retail
University of Cambridge Online,E-Learning Providers,Education
Dille & Kamille,Retail,Retail
Society of Motor Manufacturers and Traders (SMMT),Motor Vehicle Manufacturing,Manufacturing
CTP,Real Estate,Real Estate and Equipment Rental Services
Mellemfolkeligt Samvirke / ActionAid Denmark,Civic and Social Organizations,Consumer Services
Dark Matter Labs,Civic and Social Organizations,Consumer Services
TV4,Broadcast Media Production and Distribution,"Technology, Information and Media"
ALDI Belgium,Retail Groceries,Retail
This is Beyond Ltd,Events Services,Administrative and Support Services
Applegreen,Retail,Retail
OBOS,Real Estate,Real Estate and Equipment Rental Services
Bank of Finland (Suomen Pankki - Finlands Bank),Banking,Financial Services
