Company,Industry,Sector
CoinCatch,Crypto,Financial Services
Ledger,Crypto,Financial Services
HitBTC,Crypto,Financial Services
Antpool,Crypto,Financial Services
Wise,Crypto,Financial Services
Phemex,Crypto,Financial Services
21Shares,Crypto,Financial Services
Agricultural Bank of China,Banking,Financial Services
Alpha Bank,Banking,Financial Services
ANZ,Banking,Financial Services
Axis Bank,Banking,Financial Services
Banco Santander,Banking,Financial Services
Bangkok Bank,Banking,Financial Services
Bank Mandiri,Banking,Financial Services
Bank of America,Banking,Financial Services
Bank of Baroda,Banking,Financial Services
Bank of China,Banking,Financial Services
Bank of Communications,Banking,Financial Services
Bank of Cyprus,Banking,Financial Services
Bank of East Asia,Banking,Financial Services
Bank of Ireland,Banking,Financial Services
Bank of Montreal,Banking,Financial Services
Bank of the Philippine Islands,Banking,Financial Services
Bank Pekao,Banking,Financial Services
Bank Rakyat Indonesia,Banking,Financial Services
Barclays,Banking,Financial Services
BMO,Banking,Financial Services
BNP Paribas,Banking,Financial Services
CaixaBank,Banking,Financial Services
Canara Bank,Banking,Financial Services
China Citic Bank,Banking,Financial Services
China Construction Bank,Banking,Financial Services
China Merchants Bank,Banking,Financial Services
China Minsheng Bank,Banking,Financial Services
Citigroup,Banking,Financial Services
Commonwealth Bank of Australia,Banking,Financial Services
Credit Suisse,Banking,Financial Services
Danske Bank,Banking,Financial Services
DBS Bank,Banking,Financial Services
Deutsche Bank,Banking,Financial Services
DNB,Banking,Financial Services
Eurobank Ergasias,Banking,Financial Services
Fidelity,Banking,Financial Services
Gazprombank,Banking,Financial Services
Goldman Sachs,Banking,Financial Services
Hana Bank,Banking,Financial Services
Handelsbanken,Banking,Financial Services
HDFC Bank,Banking,Financial Services
HSBC,Banking,Financial Services
Huaxia Bank,Banking,Financial Services
ICBC,Banking,Financial Services
ICICI Bank,Banking,Financial Services
IDFC FIRST Bank,Banking,Financial Services
Industrial Bank,Banking,Financial Services
Industrial Bank of Korea,Banking,Financial Services
ING,Banking,Financial Services
Intesa Sanpaolo,Banking,Financial Services
JPMorgan Chase,Banking,Financial Services
Kasikornbank,Banking,Financial Services
KBC Group,Banking,Financial Services
Kookmin Bank,Banking,Financial Services
Kotak Mahindra Bank,Banking,Financial Services
Krung Thai Bank,Banking,Financial Services
Maybank,Banking,Financial Services
Mitsubishi UFJ Financial Group,Banking,Financial Services
Mizuho Financial Group,Banking,Financial Services
Morgan Stanley,Banking,Financial Services
National Australia Bank,Banking,Financial Services
NH Bank,Banking,Financial Services
Nordea,Banking,Financial Services
OCBC Bank,Banking,Financial Services
OTP Bank,Banking,Financial Services
Ping An Bank,Banking,Financial Services
Piraeus Bank,Banking,Financial Services
PKO Bank Polski,Banking,Financial Services
Postal Savings Bank of China,Banking,Financial Services
Punjab National Bank,Banking,Financial Services
Raiffeisen Bank International,Banking,Financial Services
Royal Bank of Canada,Banking,Financial Services
Santander,Banking,Financial Services
Sberbank,Banking,Financial Services
Scotiabank,Banking,Financial Services
SEB,Banking,Financial Services
