Industry,Sector
"Farming, Ranching, Forestry","Farming, Ranching, Forestry"
Farming,"Farming, Ranching, Forestry"
Ranching and Fisheries,"Farming, Ranching, Forestry"
Forestry and Logging,"Farming, Ranching, Forestry"
Ranching,"Farming, Ranching, Forestry"
Fisheries,"Farming, Ranching, Forestry"
"Oil, Gas, and Mining","Oil, Gas, and Mining"
Oil and Gas,"Oil, Gas, and Mining"
Mining,"Oil, Gas, and Mining"
Coal Mining,"Oil, Gas, and Mining"
Metal Ore Mining,"Oil, Gas, and Mining"
Nonmetallic Mineral Mining,"Oil, Gas, and Mining"
Oil Extraction,"Oil, Gas, and Mining"
Natural Gas Extraction,"Oil, Gas, and Mining"
Utilities,Utilities
Natural Gas Distribution,Utilities
"Water, Waste, Steam, and Air Conditioning Services",Utilities
Electric Power Generation,Utilities
"Electric Power Transmission, Control, and Distribution",Utilities
Water Supply and Irrigation Systems,Utilities
Steam and Air-Conditioning Supply,Utilities
Hydroelectric Power Generation,Utilities
Fossil Fuel Electric Power Generation,Utilities
Nuclear Electric Power Generation,Utilities
Solar Electric Power Generation,Utilities
Wind Electric Power Generation,Utilities
Geothermal Electric Power Generation,Utilities
Biomass Electric Power Generation,Utilities
Renewable Energy Power Generation,Utilities
Construction,Construction
Building Construction,Construction
Civil Engineering,Construction
Specialty Trade Contractors,Construction
Residential Building Construction,Construction
Nonresidential Building Construction,Construction
Utility System Construction,Construction
Subdivision of Land,Construction
"Highway, Street, and Bridge Construction",Construction
Building Structure and Exterior Contractors,Construction
Building Equipment Contractors,Construction
Building Finishing Contractors,Construction
Manufacturing,Manufacturing
Food and Beverage Manufacturing,Manufacturing
Textile Manufacturing,Manufacturing
Apparel Manufacturing,Manufacturing
Leather Product Manufacturing,Manufacturing
Animal Feed Manufacturing,Manufacturing
Sugar and Confectionery Product Manufacturing,Manufacturing
Fruit and Vegetable Preserves Manufacturing,Manufacturing
Dairy Product Manufacturing,Manufacturing
Meat Products Manufacturing,Manufacturing
Seafood Product Manufacturing,Manufacturing
Baked Goods Manufacturing,Manufacturing
Beverage Manufacturing,Manufacturing
Tobacco Manufacturing,Manufacturing
Fashion Accessories Manufacturing,Manufacturing
Footwear Manufacturing,Manufacturing
Breweries,Manufacturing
Wineries,Manufacturing
Distilleries,Manufacturing
Women's Handbag Manufacturing,Manufacturing
Wood Product Manufacturing,Manufacturing
Paper and Forest Product Manufacturing,Manufacturing
Printing Services,Manufacturing
Oil and Coal Product Manufacturing,Manufacturing
Chemical Manufacturing,Manufacturing
Plastics and Rubber Product Manufacturing,Manufacturing
"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Chemical Raw Materials Manufacturing,Manufacturing
Artificial Rubber and Synthetic Fiber Manufacturing,Manufacturing
Agricultural Chemical Manufacturing,Manufacturing
Pharmaceutical Manufacturing,Manufacturing
"Paint, Coating, and Adhesive Manufacturing",Manufacturing
Plastics Manufacturing,Manufacturing
Rubber Products Manufacturing,Manufacturing
Clay and Refractory Products Manufacturing,Manufacturing
Glass Product Manufacturing,Manufacturing
Lime and Gypsum Products Manufacturing,Manufacturing
Abrasives and Nonmetallic Minerals Manufacturing,Manufacturing
Soap and Cleaning Product Manufacturing,Manufacturing
Personal Care Product Manufacturing,Manufacturing
Packaging and Containers Manufacturing,Manufacturing
Robot Manufacturing,Manufacturing
Primary Metal Manufacturing,Manufacturing
Fabricated Metal Products,Manufacturing
Machinery Manufacturing,Manufacturing
Computers and Electronics Manufacturing,Manufacturing
"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Transportation Equipment Manufacturing,Manufacturing
Furniture and Home Furnishings Manufacturing,Manufacturing
Cutlery and Handtool Manufacturing,Manufacturing
Architectural and Structural Metal Manufacturing,Manufacturing
"Boilers, Tanks, and Shipping Container Manufacturing",Manufacturing
Construction Hardware Manufacturing,Manufacturing
Spring and Wire Product Manufacturing,Manufacturing
Turned Products and Fastener Manufacturing,Manufacturing
Metal Treatments,Manufacturing
"Metal Valve, Ball, and Roller Manufacturing",Manufacturing
"Agriculture, Construction, Mining Machinery Manufacturing",Manufacturing
Industrial Machinery Manufacturing,Manufacturing
Commercial and Service Industry Machinery Manufacturing,Manufacturing
HVAC and Refrigeration Equipment Manufacturing,Manufacturing
Metalworking Machinery Manufacturing,Manufacturing
Engines and Power Transmission Equipment Manufacturing,Manufacturing
Computer Hardware Manufacturing,Manufacturing
Communications Equipment Manufacturing,Manufacturing
Audio and Video Equipment Manufacturing,Manufacturing
Renewable Energy Equipment Manufacturing,Manufacturing
Semiconductor Manufacturing,Manufacturing
Measuring and Control Instrument Manufacturing,Manufacturing
Magnetic and Optical Media Manufacturing,Manufacturing
Electric Lighting Equipment Manufacturing,Manufacturing
Household Appliance Manufacturing,Manufacturing
Electrical Equipment Manufacturing,Manufacturing
Motor Vehicle Manufacturing,Manufacturing
Motor Vehicle Parts Manufacturing,Manufacturing
Aviation and Aerospace Component Manufacturing,Manufacturing
Railroad Equipment Manufacturing,Manufacturing
Shipbuilding,Manufacturing
Household and Institutional Furniture Manufacturing,Manufacturing
Office Furniture and Fixtures Manufacturing,Manufacturing
Mattress and Blinds Manufacturing,Manufacturing
Medical Equipment Manufacturing,Manufacturing
Renewable Energy Semiconductor Manufacturing,Manufacturing
Sporting Goods Manufacturing,Manufacturing
Climate Technology Product Manufacturing,Manufacturing
Defense and Space Manufacturing,Manufacturing
Automation Machinery Manufacturing,Manufacturing
Wholesale,Wholesale
Internet Marketplace Platforms,Wholesale
Wholesale Motor Vehicles and Parts,Wholesale
Wholesale Furniture and Home Furnishings,Wholesale
Wholesale Building Materials,Wholesale
Wholesale Metals and Minerals,Wholesale
"Wholesale Appliances, Electrical, and Electronics",Wholesale
"Wholesale Hardware, Plumbing, Heating Equipment",Wholesale
Wholesale Machinery,Wholesale
Wholesale Paper Products,Wholesale
Wholesale Drugs and Sundries,Wholesale
Wholesale Apparel and Sewing Supplies,Wholesale
Wholesale Food and Beverage,Wholesale
Wholesale Raw Farm Products,Wholesale
Wholesale Chemical and Allied Products,Wholesale
Wholesale Petroleum and Petroleum Products,Wholesale
Wholesale Alcoholic Beverages,Wholesale
Wholesale Photography Equipment and Supplies,Wholesale
Wholesale Computer Equipment,Wholesale
Wholesale Recyclable Materials,Wholesale
Wholesale Luxury Goods and Jewelry,Wholesale
Wholesale Footwear,Wholesale
Wholesale Import and Export,Wholesale
Retail,Retail
Retail Furniture and Home Furnishings,Retail
"Retail Appliances, Electrical, and Electronic Equipment",Retail
Retail Building Materials and Garden Equipment,Retail
Food and Beverage Retail,Retail
Retail Health and Personal Care Products,Retail
Retail Gasoline,Retail
Retail Apparel and Fashion,Retail
